from,to,fromModule,toModule,FromSub-Model,ToSub-Model,Distance,Type1,Type2
FDEM,AGDEM,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Demand,0,1,3
FEDDEM,AGDEM,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Demand,0,1,1
INDEM,AGDEM,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Demand,0,1,1
FMDEM,AGDEM,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Demand,0,1,1
AGLOSSTRANS,AGDEM,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Demand,0,1,1
AGP,AGDEM,Agriculture,Agriculture,Agriculture: Production,Agriculture: Demand,0,1,1
AGX,AGDEM,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Demand,0,1,1
AGM,AGDEM,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Demand,0,1,1
fishcatchm,AGFISHCATCH,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,2,2,1
aglossprodm,AGFISHCATCH,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Production,5,2,1
GDPPCP,AGFISHCATCH,Economy,Agriculture,Agriculture: GDP,Agriculture: Production,7,1,1
FDEM,AGLOSSCONS,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Losses,0,1,1
aglossconsm,AGLOSSCONS,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Losses,1,2,1
GDPPCP,AGLOSSCONS,Economy,Agriculture,Agriculture: GDP,Agriculture: Losses,2,1,1
AQUACUL,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,11,1,1
aquaculm,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,11,2,1
aglossprodm,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Losses,8,2,1
fishcatchm,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,5,2,1
aquaculgr,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,12,2,1
aquaculconv,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,12,2,1
GDPPCP,AGLOSSPROD,Economy,Agriculture,Agriculture: GDP,Agriculture: Losses,10,1,1
