NAME,VARID,ModuleNo,Module,SubModel,TYPE,TYPE NAME,ID2,Color,
agconv,2,1,Agriculture,Agriculture: Demand,2,Parameter,agconv:  Agricultural demand convergence time to function,Red,
AGDEM,3,1,Agriculture,Agriculture: Demand,1,Variable,AGDEM:  Agricultural demand,Red,
AGFISHCATCH,1216,1,Agriculture,Agriculture: Production,1,Variable,"AGFISHCATCH:  Fish catch, ocean and freshwater",Red,
aginvm,5,1,Agriculture,Agriculture: Investment,2,Parameter,aginvm:  Agricultural investment multiplier,Red,
AGLOSSCONS,1218,1,Agriculture,Agriculture: Losses,1,Variable,AGLOSSCONS:  Waste of food by consumer,Red,
aglossconsm,1221,1,Agriculture,Agriculture: Losses,2,Parameter,aglossconsm:  Waste rate of agricultural consumption,Red,
AGLOSSPROD,1209,1,Agriculture,Agriculture: Losses,1,Variable,AGLOSSPROD:  Loss of agricultural production,Red,
aglossprodm,1220,1,Agriculture,Agriculture: Losses,2,Parameter,aglossprodm:  Loss rate of agricultural production,Red,
AGLOSSTRANS,1214,1,Agriculture,Agriculture: Losses,1,Variable,AGLOSSTRANS:  Agricultural loss between farm and table,Red,
aglosstransm,1215,1,Agriculture,Agriculture: Losses,2,Parameter,"aglosstransm:  Loss rate of agriculture as moves from producer to consumer, multiplier",Red,
AGM,6,1,Agriculture,Agriculture: Trade,1,Variable,AGM:  Agricultural imports,Red,
AGMVALUE,1222,1,Agriculture,Agriculture: Trade,1,Variable,"AGMVALUE:  Agricultural imports, value",Red,
agon,7,1,Agriculture,Agriculture: Investment,2,Parameter,"agon:  Agriculture-economy linkage parameter (1=On, 0=Off)",Red,
AGP,8,1,Agriculture,Agriculture: Production,1,Variable,AGP:  Agricultural production,Red,
AGPMILKEGGS,1204,1,Agriculture,Agriculture: Production,1,Variable,AGPMILKEGGS:  Agricultural production of Milk and Eggs,Red,
AGX,9,1,Agriculture,Agriculture: Trade,1,Variable,AGX:  Agricultural exports,Red,
AGXVALUE,1223,1,Agriculture,Agriculture: Trade,1,Variable,"AGXVALUE:  Agricultural exports, value",Red,
AID,10,9,Sociopolitical,Sociopolitical: AID,1,Variable,"AID:  Aid (foreign), net",drakgray,
aiddon,11,9,Sociopolitical,Sociopolitical: AID,2,Parameter,aiddon:  Aid (foreign) donations as % of GDP,drakgray,
aidgradpoint,1319,9,Sociopolitical,Sociopolitical: AID,2,Parameter,"aidgradpoint:  Aid (foreign), income per capita that no longer qualifies countries for aid",drakgray,
aidlp,12,9,Sociopolitical,Sociopolitical: AID,2,Parameter,aidlp:  Aid (foreign) loan portion,drakgray,
aidlpm,13,9,Sociopolitical,Sociopolitical: AID,2,Parameter,aidlpm:  Aid (foreign) loan portion multiplier,drakgray,
AIDREC,14,9,Sociopolitical,Sociopolitical: AID,1,Variable,"AIDREC:  Aid (foreign) receipts as % of GDP, initial year value",drakgray,
aidrecgovconp,1503,9,Sociopolitical,Sociopolitical: AID,2,Parameter,"aidrecgovconp:  Aid (foreign) receipts, portion going to government consumption",drakgray,
aidrecm,1318,9,Sociopolitical,Sociopolitical: AID,2,Parameter,aidrecm:  Aid (foreign) receipts multiplier,drakgray,
AIDSDRATE,15,2,Demography,Demography: HIV/AIDS,1,Variable,AIDSDRATE:  AIDS death rate as percent of population,Blue,
aidsdratem,16,2,Demography,Demography: HIV/AIDS,2,Parameter,"aidsdratem:  AIDS death rate as percent of HIV infection rate, multiplier",Blue,
aidsdrtadvr,17,2,Demography,Demography: HIV/AIDS,2,Parameter,"aidsdrtadvr:  AIDS death rate, technical annual advance rate in control",Blue,
AIDSDTHS,18,2,Demography,Demography: HIV/AIDS,1,Variable,"AIDSDTHS:  AIDS deaths, millions",Blue,
AIDSDTHSCM,19,2,Demography,Demography: HIV/AIDS,1,Variable,"AIDSDTHSCM:  AIDS deaths cumulative since first model year, millions",Blue,
DEATHCAT,108,10,Health,Health: Mortality,1,Variable,DEATHCAT:  Deaths by mortality type,Purple,
deathtrpvm,111,10,Health,Health: Mortality,2,Parameter,deathtrpvm:  Deaths from traffic per vehicle multiplier,Purple,
ECONINTEG,145,6,Economy,Economy: Trade,1,Variable,ECONINTEG:  Economic integration index (base year values from 0 to 100 as highest),Green,
ally,20,8,Interstate,Interstate: Alliances,2,Parameter,ally:  Alliance membership (0=none; 1=alliance),Azure,
AQUACUL,21,1,Agriculture,Agriculture: Production,1,Variable,AQUACUL:  Aquaculture fish production,Red,
aquaculconv,22,1,Agriculture,Agriculture: Production,2,Parameter,aquaculconv:  Aquacultture convergence time,Red,
aquaculgr,23,1,Agriculture,Agriculture: Production,2,Parameter,"aquaculgr:  Aquaculture growth rate, initial",Red,
aquaculm,24,1,Agriculture,Agriculture: Production,2,Parameter,aquaculm:  Aquaculture multiplier,Red,
ASAGDP,25,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAGDP:  Advanced Sustainability Analysis, ratios to GDP",Grey,
ASAGDPCUMCHG,26,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAGDPCUMCHG:  Advanced Sustainability Analysis, cumulative percentage change in GDP",Grey,
ASAGDPDMAT,27,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAGDPDMAT:  Advanced Sustainability Analysis, cumulative dematerialization in ratio to GDP",Grey,
ASAGDPGRRB,28,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAGDPGRRB:  Advanced Sustainability Analysis, gross rebound with GDP growth",Grey,
ASALAB,29,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASALAB:  Advanced Sustainability Analysis, ratios to labor force",Grey,
ASALABCUMCHG,30,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASALABCUMCHG:  Advanced Sustainability Analysis, cumulative percentage change in labor",Grey,
ASALABDMAT,31,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASALABDMAT:  Advanced Sustainability Analysis, cumulative dematerialization in ratio to labor",Grey,
ASALABGRRB,32,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASALABGRRB:  Advanced Sustainability Analysis, gross rebound with labor force growth",Grey,
ASAPOP,33,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAPOP:  Advanced Sustainability Analysis, ratios to population",Grey,
ASAPOPCUMCHG,34,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAPOPCUMCHG:  Advanced Sustainability Analysis, cumulative percentage change in population",Grey,
ASAPOPDMAT,35,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAPOPDMAT:  Advanced Sustainability Analysis, cumulative dematerialization in ratio to population",Grey,
ASAPOPGRRB,36,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASAPOPGRRB:  Advanced Sustainability Analysis, gross rebound with population growth",Grey,
ASARAW,37,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASARAW:  Advanced Sustainability Analysis, raw values",Grey,
ASARAWDMAT,38,6,Environment,Environment: Advanced Sustainability Analysis,1,Variable,"ASARAWDMAT:  Advanced Sustainability Analysis, cumulative dematerialization in raw values",Grey,
bilateraltradeforwardlinksw,1323,3,Economy,Economy: Trade,2,Parameter,bilateraltradeforwardlinksw:  Bilateral Trade Forward Linkage Switch,Green,
birthmshr,40,2,Demography,Demography: Births and fertility,2,Parameter,"birthmshr:  Births, male share",Blue,
BIRTHS,41,2,Demography,Demography: Births and fertility,1,Variable,BIRTHS:  Births,Blue,
C,42,3,Economy,Economy: consumption,1,Variable,C:  Household consumption,Green,
calmax,43,1,Agriculture,Agriculture: Nutrition,2,Parameter,"calmax:  Calories, maximum needed per day per person",Red,
calmeatm,44,1,Agriculture,Agriculture: Nutrition,2,Parameter,"calmeatm:  Calories, portion obtained from meat multiplier",Red,
CAPUT,45,3,Economy,Economy: Economic Productivity,1,Variable,"CAPUT:  Capacity utilization, economic sectors",Green,
caputtar,46,3,Economy,Economy: Economic Productivity,2,Parameter,caputtar:  Capacity utilization target level,Green,
carabr,47,6,Environment,Environment: Carbon Emissions,2,Parameter,carabr:  Carbon (atmospheric) absorbed yearly by oceans and non-forest land sources,Grey,
CARANN,49,6,Environment,Environment: Carbon Emissions,1,Variable,CARANN:  Annual carbon emissions from fossil fuels,Grey,
carannwi,50,6,Environment,Environment: Carbon Emissions,1,Variable,"carannwi:  Net emissions from fossil fuels, initial",Grey,
carbtax,51,6,Environment,Environment: Carbon Emissions,2,Parameter,carbtax:  Carbon tax,Grey,
CARFOROTH,52,6,Environment,Environment: Carbon Emissions,1,Variable,CARFOROTH:  Annual net carbon release from forests and other sources,Grey,
carforst,53,6,Environment,Environment: Carbon Emissions,2,Parameter,"carforst:  Carbon sequestered by forests, gigatons per million hectaresx",Grey,
carfuel1,54,6,Environment,Environment: Carbon Emissions,2,Parameter,carfuel1:  Carbon generated by burning oil,Grey,
carfuel2,55,6,Environment,Environment: Carbon Emissions,2,Parameter,carfuel2:  Carbon generated by burning natural gas,Grey,
carfuel3,56,6,Environment,Environment: Carbon Emissions,2,Parameter,carfuel3:  Carbon generated by burning coal,Grey,
carinit,57,6,Environment,Environment: Carbon Emissions,2,Parameter,"carinit:  Carbon, initial year weight in atmosphere",Grey,
carprein,58,6,Environment,Environment: Carbon Emissions,2,Parameter,"carprein:  Carbon, pre-industrial weight of atmosphere",Grey,
